Subsistence Project Year,Section Sort,Section,District,Tributary Sort,Tributary,Community Sort,Community,Harvest,Year Comment,Community Year Comment,Harvest Comment
1994,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,4168,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,850,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,4846,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,1617,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,1234,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,1920,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",Includes communities within the Fairbanks North Star Borough. Does not include 1 household(s) that fished more than one permit.,
1994,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,602,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.","Includes Manley, Minto, Nenana, Tok, and Wasilla residents who fished in a permit area of District 5.",
1994,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,524,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 6,5,,32,Manley,480,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 6,5,,33,Minto,316,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 6,5,,34,Nenana/Healy,759,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",Does not include 3 household(s) that fished more than one permit.,
1994,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,775,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",Does not include 5 household(s) that fished more than one permit.,
1994,3,Upper Yukon,District 6,5,,36,District 6 Other,40,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.","Includes Anchorage, Bettles, Birch Creek, Dot Lake, Eagle River, Juneau, Northway, and Tok residents who fished in District 6.",
1995,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,1500,,,
1995,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,585,,,
1995,2,Lower Yukon,District 1,5,,3,Nunam Iqua,459,,,
1995,2,Lower Yukon,District 1,5,,4,Alakanuk,1191,,,
1995,2,Lower Yukon,District 1,5,,5,Emmonak,1711,,,
1995,2,Lower Yukon,District 1,5,,6,Kotlik,2599,,,
1995,2,Lower Yukon,District 2,5,,10,Pilot Station,1614,,,
1995,2,Lower Yukon,District 2,5,,11,Marshall,3291,,,
1995,2,Lower Yukon,District 2,5,,7,Mountain Village,1542,,,
1995,2,Lower Yukon,District 2,5,,8,Pitkas Point,559,,,
1995,2,Lower Yukon,District 2,5,,9,St. Mary's,2031,,,
1995,2,Lower Yukon,District 3,5,,12,Russian Mission,2450,,,
1995,2,Lower Yukon,District 3,5,,13,Holy Cross,2808,,,
1995,2,Lower Yukon,District 3,5,,14,Shageluk,161,,,
1995,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,450,,,
1995,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,1340,,,
1995,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,1890,,,
1995,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,1533,,,
1995,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,146,,,
1995,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,1336,,,
1995,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,1435,,,
1995,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,1009,,,
1995,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,335,,,
1995,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,2398,,,
1995,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,4135,,,
1995,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,1021,,,
1995,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,3225,,,
1995,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,1316,,,
1995,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,1886,,,
1995,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,1447,,Includes communities within the Fairbanks North Star Borough.,
1995,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,1004,,"Includes Manley, Nenana, Tanacross, Northway and Tok residents who fished in a permit area of District 5. Does not include 1 household(s) that fished more than one permit.",
1995,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,434,,,
1995,3,Upper Yukon,District 6,5,,32,Manley,335,,Does not include 1 household(s) that fished more than one permit.,
1995,3,Upper Yukon,District 6,5,,33,Minto,535,,Does not include 1 household(s) that fished more than one permit.,
1995,3,Upper Yukon,District 6,5,,34,Nenana/Healy,613,,Does not include 1 household(s) that fished more than one permit.,
1995,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,285,,,
1995,3,Upper Yukon,District 6,5,,36,District 6 Other,11,,"Includes Dot Lake, Eagle River, Juneau, Ketchikan, Northway, Tanacross, Tetlin, and Tok residents who fished in District 6.",
1996,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,1127,,,
1996,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,1238,,,
1996,2,Lower Yukon,District 1,5,,3,Nunam Iqua,450,,,
1996,2,Lower Yukon,District 1,5,,4,Alakanuk,662,,,
1996,2,Lower Yukon,District 1,5,,5,Emmonak,702,,,
1996,2,Lower Yukon,District 1,5,,6,Kotlik,1832,,,
1996,2,Lower Yukon,District 2,5,,10,Pilot Station,1811,,,
1996,2,Lower Yukon,District 2,5,,11,Marshall,2126,,,
1996,2,Lower Yukon,District 2,5,,7,Mountain Village,1315,,,
1996,2,Lower Yukon,District 2,5,,8,Pitkas Point,762,,,
1996,2,Lower Yukon,District 2,5,,9,St. Mary's,1766,,,
1996,2,Lower Yukon,District 3,5,,12,Russian Mission,2709,,,
1996,2,Lower Yukon,District 3,5,,13,Holy Cross,3953,,,
1996,2,Lower Yukon,District 3,5,,14,Shageluk,121,,,
1996,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,768,,,
1996,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,1036,,,
1996,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,994,,,
1996,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,1461,,,
1996,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,402,,,
1996,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,2770,,,
1996,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,557,,,
1996,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,121,,,
1996,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,84,,,
1996,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,2741,,,
1996,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,2432,,,
1996,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,886,,,
1996,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,4957,,,
1996,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,1912,,,
1996,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,1092,,,
1996,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,1166,,Includes communities within the Fairbanks North Star Borough.,
1996,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,377,,"Includes Manley, Minto, Nenana, Northway and Tok residents who fished in a permit area of District 5.",
1996,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,164,,,
1996,3,Upper Yukon,District 6,5,,32,Manley,134,,,
1996,3,Upper Yukon,District 6,5,,33,Minto,523,,,
1996,3,Upper Yukon,District 6,5,,34,Nenana/Healy,423,,Does not include 1 household(s) that fished more than one permit.,
1996,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,97,,,
1996,3,Upper Yukon,District 6,5,,36,District 6 Other,0,,"Includes Anchorage, Cantwell, Dot Lake, Mountain Village, Northway, Slana, Tanacross, and Tok residents who fished in District 6.",
1997,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,613,,,
1997,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,526,,,
1997,2,Lower Yukon,District 1,5,,3,Nunam Iqua,970,,,
1997,2,Lower Yukon,District 1,5,,4,Alakanuk,2058,,,
1997,2,Lower Yukon,District 1,5,,5,Emmonak,3080,,,
1997,2,Lower Yukon,District 1,5,,6,Kotlik,1442,,,
1997,2,Lower Yukon,District 2,5,,10,Pilot Station,2373,,,
1997,2,Lower Yukon,District 2,5,,11,Marshall,1511,,,
1997,2,Lower Yukon,District 2,5,,7,Mountain Village,2081,,,
1997,2,Lower Yukon,District 2,5,,8,Pitkas Point,793,,,
1997,2,Lower Yukon,District 2,5,,9,St. Mary's,2592,,,
1997,2,Lower Yukon,District 3,5,,12,Russian Mission,1459,,,
1997,2,Lower Yukon,District 3,5,,13,Holy Cross,3472,,,
1997,2,Lower Yukon,District 3,5,,14,Shageluk,1380,,,
1997,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,951,,,
1997,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,2391,,,
1997,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,1036,,,
1997,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,1576,,,
1997,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,851,,,
1997,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,2350,,,
1997,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,2260,,,
1997,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,91,,,
1997,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,500,,,
1997,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,3596,,,
1997,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,4273,,,
1997,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,1859,,,
1997,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,3518,,,
1997,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,1237,,,
